player,teamAbbreviation,games,fieldGoals,threePointPercent,freeThrowPercent,rebounds,assists,steals,blocks,personalFouls,points
Alex Abrines,OKC,75,115,0.38,0.848,114,28,38,8,124,353
Quincy Acy,BRK,70,130,0.349,0.817,257,57,33,29,149,411
Steven Adams,OKC,76,448,0,0.559,685,88,92,78,215,1056
Bam Adebayo,MIA,69,174,0,0.721,381,101,32,41,138,477
Arron Afflalo,ORL,53,65,0.386,0.846,66,30,4,9,56,828
Cole Aldrich,MIN,21,5,5,3,3,2,1,1,12,930
LaMarcus Aldridge,SAS,75,687,0.293,0.837,635,152,43,90,161,1735
Jarrett Allen,BRK,72,234,0.333,0.776,388,49,28,88,147,587
Kadeem Allen,BOS,18,6,0,0.778,11,12,3,2,15,19
Tony Allen,NOP,22,44,0.333,0.524,47,9,11,3,49,103
Al-Farouq Aminu,POR,69,230,0.369,0.738,525,84,79,40,136,644
Justin Anderson,PHI,38,87,0.33,0.737,93,25,15,7,54,236
Kyle Anderson,SAS,74,231,0.333,0.712,396,202,115,60,114,236
Ryan Anderson,HOU,66,207,0.386,0.774,331,60,24,21,126,236
Ike Anigbogu,IND,11,4,4,5,0,1,3,2,13,236
Giannis Antetokounmpo,MIL,75,742,0.307,0.76,753,361,109,106,231,2014
Carmelo Anthony,OKC,78,472,0.357,0.767,453,103,47,49,197,1261
OG Anunoby,TOR,74,163,0.371,0.629,184,55,52,14,130,438
Ryan Arcidiacono,CHI,24,17,0.29,0.833,25,35,13,0,18,48
Trevor Ariza,HOU,67,268,0.368,0.854,294,105,98,13,132,782
Darrell Arthur,DEN,19,22,0.348,0.667,15,9,8,3,22,54
Jamel Artis,ORL,15,31,0.276,0.583,38,18,2,3,11,77
Omer Asik,NOP,14,7,7,7,2,1,2,5,18,77
Omer Asik,CHI,4,2,2,2,1,1,2,4,4,77
D.J. Augustin,ORL,75,244,0.419,0.868,160,287,54,0,94,766
Luke Babbitt,ATL,37,80,0.441,0.773,81,26,7,5,47,226
Luke Babbitt,MIA,13,11,0.244,2,5,1,2,4,33,226
Dwayne Bacon,CHO,53,72,0.256,0.8,124,38,16,2,46,175
Ron Baker,NYK,29,20,0.333,0.769,30,47,26,6,33,71
Wade Baldwin,POR,7,14,0.8,0.6,8,5,2,1,12,38
Lonzo Ball,LAL,52,203,0.305,0.451,360,376,88,43,117,528
J.J. Barea,DAL,69,303,0.367,0.784,201,434,35,3,83,801
Harrison Barnes,DAL,77,537,0.357,0.827,468,152,49,14,94,1452
Will Barton,DEN,81,465,0.37,0.805,409,331,82,52,168,1268
Nicolas Batum,CHO,64,270,0.336,0.831,306,349,65,23,72,740
Jerryd Bayless,PHI,39,109,0.37,0.795,80,54,23,6,91,307
Aron Baynes,BOS,81,210,0.143,0.756,434,93,22,51,200,482
Kent Bazemore,ATL,65,284,0.394,0.796,248,228,100,45,147,836
Bradley Beal,WAS,82,683,0.375,0.791,363,373,96,36,160,1857
Malik Beasley,DEN,62,73,0.341,0.667,71,31,15,7,36,196
Michael Beasley,NYK,74,409,0.395,0.78,414,123,36,43,145,976
Marco Belinelli,ATL,52,199,0.372,0.927,100,103,46,3,41,591
Marco Belinelli,PHI,28,138,0.385,0.87,51,45,20,9,50,380
Jordan Bell,GSW,57,116,0,0.682,207,102,35,56,92,262
DeAndre' Bembry,ATL,26,53,0.367,0.576,72,49,21,12,38,136
Dragan Bender,PHO,82,187,0.366,0.765,361,130,22,53,166,531
Davis Bertans,SAS,77,161,0.373,0.816,153,74,26,28,93,456
Patrick Beverley,LAC,11,48,0.4,0.824,45,32,19,5,34,456
Khem Birch,ORL,42,68,68,70,34,15,21,21,178,456
Jabari Bird,BOS,13,15,0.429,0.462,19,8,3,1,7,39
Bismack Biyombo,ORL,82,183,0,0.65,468,66,21,95,158,468
Nemanja Bjelica,MIN,67,171,0.415,0.8,274,86,50,16,141,454
Tarik Black,HOU,51,75,0.091,0.46,163,13,21,30,107,180
Antonio Blakeney,CHI,19,53,0.288,0.769,33,20,7,1,19,151
Eric Bledsoe,PHO,3,16,0.308,0.786,7,9,4,2,6,47
Eric Bledsoe,MIL,71,452,0.349,0.795,277,361,145,40,179,1266
Vander Blue,LAL,5,1,0,0.5,1,3,1,0,2,3
Bogdan Bogdanovic,SAC,78,344,0.392,0.84,223,258,72,16,172,917
Bojan Bogdanovic,IND,80,404,0.402,0.868,270,119,55,8,129,1141
Andrew Bogut,LAL,23,17,17,26,15,4,13,19,36,1141
Joel Bolomboy,MIL,6,3,0,0.5,10,0,2,0,3,9
Devin Booker,PHO,54,455,0.383,0.878,244,253,47,14,168,1346
Trevor Booker,BRK,18,77,0.25,0.558,119,38,8,5,43,181
Trevor Booker,PHI,33,61,0.286,0.821,122,27,16,11,50,156
Trevor Booker,IND,17,39,0.214,0.909,77,17,4,5,26,91
Chris Boucher,GSW,1,0,0,1,0,0,0,0,26,91
Avery Bradley,DET,40,233,0.381,0.763,94,83,46,7,80,601
Avery Bradley,LAC,6,26,0.111,1,22,11,5,1,80,55
Tony Bradley,UTA,9,3,0,1,11,1,0,0,80,8
Corey Brewer,LAL,54,78,0.186,0.667,93,41,41,8,8,198
Corey Brewer,OKC,18,64,0.343,0.795,61,24,38,6,56,182
Malcolm Brogdon,MIL,48,244,0.385,0.882,156,152,41,13,128,625
Aaron Brooks,MIN,32,28,0.355,0.727,17,20,6,0,28,75
